,name,averageRating
1275,Unicornz,5.0
1278,Hot Pink,5.0
1284,Skidmarx,5.0
1288,JT15,5.0
1293,Loompa Goo,5.0
1296,Roswell 47,5.0
1299,Lost Sierra Night Nurse,5.0
1308,Sweet Strawberry Pineapple,5.0
1309,Snowman Cookies,5.0
1310,Goat Fuel,5.0
1312,Blue Tint,5.0
1329,P94,5.0
1337,Crystal Candy XL Auto,5.0
1343,Grape Frosty,5.0
1350,Cake's Revenge,5.0
1360,First Fall,5.0
1361,Magnetic Marker,5.0
1367,Daywalker,5.0
1368,Cyber Cake,5.0
1371,Lemon Truffles,5.0
1374,Cherry Wine CBD,5.0
1388,Runtz N' Laterz,5.0
1394,Blue Maui,5.0
1396,Mellow Fellow,5.0
1399,Amnesia Sour Diesel,5.0
1400,Supreme OG,5.0
1415,Peanut Butter Acai,5.0
1428,Gasolina,5.0
1438,Mendo Afgoo,5.0
1450,El Matador,5.0
1455,Banana Tart,5.0
1460,NYC Chem,5.0
1470,Stratosphere,5.0
1476,Flatbrainer,5.0
1490,Tiki Cookies,5.0
1494,Eden's Delight,5.0
1496,Sannie's Jack,5.0
1501,Sapphire Cherries,5.0
1514,Rebel Cookies,5.0
1520,Platinum Grapes,5.0
1522,Cookie Pebbles F3,5.0
1526,Lemon Splash,5.0
1538,Gran Champagne,5.0
1540,Chocolate Gelato,5.0
1550,Durban Gushers,5.0
1551,Puffin Purple,5.0
1558,Unbroken Chain,5.0
1571,Cruise 232,5.0
1572,Cherry Cough,5.0
1577,Mystery Haze,5.0
1578,Purple Runtz Cake,5.0
1592,Ex Trophy Wife,5.0
1593,Chem Jong Ill,5.0
1595,Euphoria Cookies,5.0
1596,Pucker,5.0
1610,Truffle Breath,5.0
1621,6ixth Sense,5.0
1622,Los Altos,5.0
1623,White Death,5.0
1628,Thank You Jerry,5.0
1630,Fully Loaded,5.0
1633,Hoof,5.0
1637,Doses n Mimosas,5.0
1652,Rainbow Falls,5.0
1658,Candy Colada,5.0
1667,Hula Dancer,5.0
1669,Goldmember,5.0
1670,Medical Mass,5.0
1676,Gold Dropz,5.0
1678,Animal OG,5.0
1686,Ghosts of Mujahdeen,5.0
1703,Carlsbad Cavern,5.0
1730,Banana Pound Cake,5.0
1733,Black Ube,5.0
1749,Sunny Wizard,5.0
1755,Freeze Cup,5.0
1756,Sugar Puss,5.0
1762,Colorado Diesel,5.0
1770,Sand and Snow #30,5.0
1775,Riddlez,5.0
1781,Fire Diesel,5.0
1787,Rainbow Crush,5.0
1788,African Orange Glue,5.0
1794,Minty Haze,5.0
1822,Panzer Kush,5.0
1840,Coyote Art,5.0
1842,Sophisticated Lady,5.0
1846,Swiss Watch,5.0
1854,Grape Calyx,5.0
1856,Traffic Jam,5.0
1868,Sundae Punch,5.0
1869,Desert Ruby,5.0
1870,Super Silver Bullet,5.0
1878,Banana Puff,5.0
1887,Sleeroy,5.0
1889,Monkey Juice,5.0
1894,Wedding Mints #13,5.0
1896,White Strawberry Skunk,5.0
1897,Sin Mints,5.0
1898,Maqui,5.0
1899,Royale With Cheese,5.0
1904,Freezer Burn,5.0
1906,Red Rocket,5.0
1922,Frostbanger Auto,5.0
1934,Coco Beach,5.0
1936,Supafreak,5.0
1953,Super Dummiez,5.0
1961,Doobie Howser,5.0
1962,Kaptn’s Grand Dream,5.0
1964,Mischief,5.0
1972,Blackberry Octane,5.0
1987,Nam Wah,5.0
1993,Rollinia,5.0
1997,Monkey Punch,5.0
2004,Orange Eruption,5.0
2009,Durban Margy,5.0
2010,Coconut Horchata,5.0
2014,Dark Dosi,5.0
2015,Strawberry Frost,5.0
2022,Malibu Marsha,5.0
2023,Lady Madonna,5.0
2025,Rich Whiskey,5.0
2027,Grape Durban,5.0
2030,Limonada,5.0
2034,Cherry Sunrise,5.0
2045,Gupta Haze,5.0
2054,4G,5.0
2057,Kelly Hill Gold,5.0
2059,+Speed Auto,5.0
2063,Durbert,5.0
2075,Vietnamese Black,5.0
2076,Blue Lime Pie,5.0
2091,After Life OG,5.0
2099,Gelato Pebbles,5.0
2109,Project Z,5.0
2117,541 Kush,5.0
2123,7 Ghosts,5.0
2133,Moulin Rouge,5.0
2141,The Boss,5.0
2147,Total Paralysis,5.0
2149,Pinewarp,5.0
2150,Dosi Sherbert,5.0
2154,Curve Ball,5.0
2157,Gelato High Octane,5.0
2163,Mandarin Glue,5.0
2165,Breakfast Bubba,5.0
2172,5280 Gravy,5.0
2174,Pie of the Tiger,5.0
2176,4 Zs,5.0
2187,Tenderheart,5.0
2199,Banana Spliff,5.0
2203,Z Cap,5.0
2205,Eagle Bill,5.0
2210,Airborne Skunk,5.0
2217,Guava Runtz,5.0
2219,Mexican Wedding,5.0
2239,Glue Trap,5.0
2241,Grandaddy Glue,5.0
2242,Canis Majoris,5.0
2247,Pyromancy,5.0
2258,DJ Andy Williams,5.0
2267,Ice Cream Punch,5.0
2268,Wonder Skunk,5.0
2281,Cherry Sunset,5.0
2283,Banana Blaze,5.0
2290,Silver Garden,5.0
2292,Franken Cakes,5.0
2293,Future Ex Wife,5.0
2319,Cambodian Thai,5.0
2321,Lyon King,5.0
2322,Brick House,5.0
2338,Jack O' Nesia,5.0
2350,White Diamond,5.0
2353,Creme De Menthe,5.0
2356,Lifted OG,5.0
2358,Funk Dumpster,5.0
2381,F 13,5.0
2383,Nut Butter,5.0
2384,Wedding Cheesecake Auto,5.0
2392,Nepali Queen,5.0
2398,Canna Montana,5.0
2406,Doctor Kush,5.0
2433,Rox,5.0
2437,Tahoe Tangie,5.0
2441,Dark Devil,5.0
2447,Aurora's Skyline,5.0
2458,Gammaberry,5.0
2464,Rose Petal,5.0
2473,Phat Burger,5.0
2497,Bert's Cookie Dough,5.0
2524,Gnome Walker,5.0
2537,Air Gelato,5.0
2538,Zortzi,5.0
2543,Purple Aurora,5.0
2545,Bluesexplosion,5.0
2559,Ctrl-Alt-Delete,5.0
2581,Holy Crack,5.0
2582,Velvet Cookies,5.0
2585,Granita,5.0
2589,Starbelley,5.0
2591,Queen Of The South F2,5.0
